#separator:Semicolon
#html:false
#columns:Traditional;Reading;Definition;Simplified;tag
#notetype:Chinese (Trad and Simp)
#deck:tianguancifu
資質平平;zi1zhi4ping2ping2;"FIXED EXPRESSION

One's natural endowments are ordinary.";资质平平;
凡事;fan2shi4;"NOUN

everything 你們凡事小心點。 Nǐmen fánshì xiǎoxīn diǎn. You should be careful in all things.";;hsk3
所;suo3;"SUFFIX

1 place

2 office; bureau; institute

<hr style='width: 30%'>

BOUND FORM

that which in suọ̌yǐ , suọ̌yǒu , suǒwèi

<hr style='width: 30%'>

CONSTRUCTION

1 ∼ V de that which 我所說的 (話) wǒ suǒ shuō de (huà) what I said

2 bèi/wéi N ∼ V be V'd by N 他為賊所殺。 Tā wéi zéi suǒ shā. He was killed by bandits.

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for houses)";;hsk6
擾;rao3;"VERB

1 disturb; bother

2 harass; trouble

3 court. trespass on sb.'s hospitality";扰;
遂;sui4;"BOUND FORM

1 satisfy; fulfill in suìxīn

2 succeed in wèisuì

<hr style='width: 30%'>

ADVERB

, wr. then; thereupon See also ³suí";;hsk3
遣歸;qian3gui1;"VERB

send (a prisoner/etc.) home; repatriate";遣归;
母子;mu3-zi3;"NOUN

1 mother and son

2 capital and interest";;hsk6
凌辱;ling2ru3;"VERB

1 insult; humiliate

2 assault a woman";;hsk3
上下;shang4-xia4;"NOUN

 

<hr style='width: 30%'>

ATTRIBUTIVE

1 above and below; up and down

2 superior and inferior; ruler and subject; high and low; senior and junior

3 old and young

4 heaven and earth  AUX. about; more or less 這輛車在一千塊錢上下。 Zhèi ³liàng chē zài yī̠qiān ²kuài ²qián shàng-xià. This car costs about one thousand yuán.

<hr style='width: 30%'>

VERB

go up or down";;hsk5
勝;sheng4;"VERB

1 win a victory; succeed 我們隊勝了。 Wǒmen ²duì shèng le. Our team won.

2 surpass; excel 事實勝於雄辯。 Shìshí shèngyú xióngbiàn. Facts speak louder than words.

3 defeat

<hr style='width: 30%'>

BOUND FORM

1 triumphant

2 superb; distinctive

3 victory in shènglì

4 scenic view in ²shèngjǐng

5 trad. (women's) hair decoration in fāngshèng

<hr style='width: 30%'>

NOUN

Surname See also bụ̀shèng";胜;
其;qi2;"wr

<hr style='width: 30%'>

PRONOUN

his; her; its; their; he; she; it; that; such

<hr style='width: 30%'>

NOMINAL MEASURE WORD

. (marking question, emphasis, imperative)

<hr style='width: 30%'>

SUFFIX

(used for reasons of euphony or as an empty suffix in expansion of one-syllable component to a two-syllable component) 極其微小 (極小) jíqí wēixiǎo (jí xiǎo) diminutive (forming adverbs)
	尤其 yóuqí particularly See also ³³jī";;hsk5
而;er2;"CONJUNCTION

and; and yet

<hr style='width: 30%'>

PRONOUN

, wr. you

<hr style='width: 30%'>

CONSTRUCTION

yī V1 ∼ V2 V2 right after V1
	一戰而勝 yị̄zhàn'érshèng win victory by a single blow/battle";;hsk4
逝;shi4;"BOUND FORM

die in ³shìshì";;hsk3
後;hou4;"BOUND FORM

1 rear; back; behind in hòumiàn

2 afterwards; later in hòulái

3 later in sequence in hòutiān

<hr style='width: 30%'>

NOUN

offspring; descendant; posterior

<hr style='width: 30%'>

PREFIX

post- See also ²hòu";后;hsk1
了無;liao3wu2;"verb literary not at all; not the least (or slightest)
	了無懼色 liǎo wú jùsè show no trace of fear; look completely undaunted
	了無生趣 liǎowúshēngqù lose all interest in life";了无;
牽掛;qian1gua4;"VERB

1 worry or be concerned about 她很牽掛她的父母。 ²Tā hěn qiānguà ²tā de fùmǔ. She's very concerned about her parents.

2 bother; pester";牵挂;hsk7-9
邢;Xing2;"NOUN

Surname  char. in Xíngyáo";;hsk3
邪;"xie2; ye2";"xie2
BOUND FORM

1 evil in xiéqì

2 heretical; irregular in xiéshuō

3 strange; odd in xiéménr

4 Ch. med. unhealthy influences that cause disease in fēngxié , hánxié

5 disaster (caused by supernatural beings) in ¹qūxié See also ⁴yé

<hr style='width: 30%'><hr style='width: 30%'>

ye2
char. in yéhū , Mòyé See also ⁵xié";;hsk7-9
靈;ling2;"STATIC VERB

1 quick; clever; sharp 這小孩兒腦袋真靈。 Zhè xiǎoháir nǎodai zhēn líng. The child is very clever.

2 efficacious; effective

3 mysterious; divine

<hr style='width: 30%'>

BOUND FORM

1 spirit; intelligence in shénlíng

2 fairy; sprite; elf in língguài

3 coffin in língjiù";灵;hsk7-9
降世;jiang4shi4;"VERB

OBJECT CONSTRUCTION

, rel. be born into the world (of sacred figures, etc.)";;hsk3
助;zhu4;"VERB

help; assist; aid";;hsk3
夙願;su4yuan4;"NOUN

long-cherished wish";夙愿;
得了;"de2le5; de2liao3";"de2le5
INTJ. Stop it! Hold it! Enough!

<hr style='width: 30%'>

FIXED EXPRESSION

1 done; finished 飯得了。 Fàn déle. Food's done/cooked.

2 and be done with it 你走得了, 剩下的事(兒)我幹。 Nị̌ zǒu déle, shèngxia de shì wǒ gàn. You just go, and I'll finish the rest. See also déliǎo

<hr style='width: 30%'><hr style='width: 30%'>

de2liao3
VERB

PHRASE

(used in rhetorical questions) really serious; awful 這還得了(嗎) ? Zhè hái déliǎo (ma) ? Isn't it awful? See also déle";;hsk5
引;yin3;"VERB

lead; guide

<hr style='width: 30%'>

BOUND FORM

1 draw; pull; stretch in qiānyǐn

2 cause; make in yǐnfā

3 seduce in yǐnyòu

4 quote; cite in yǐnshù

5 leave
	引避 Yǐnbì avoid; make way for

6 induce

<hr style='width: 30%'>

NOUN

introduction; preface

<hr style='width: 30%'>

NOMINAL MEASURE WORD

, trad.

1 (of length (33

1/3 meters))

2 (of units of salt certificates)";;hsk4
獻;xian4;"VERB

1 offer; present; donate

2 show; display";献;hsk5
予;yu3;"BOUND FORM

give in yụ̌yǐ See also ⁵yú";;hsk3
魄;"po4; bo2";"po4
BOUND FORM

1 soul in húnfēipòsàn

2 vigor; spirit in ¹pòlì , qìpò

<hr style='width: 30%'><hr style='width: 30%'>

bo2
meaningful bound form";;hsk3
魂魄;hun2po4;"NOUN

soul; psyche";;hsk3
償;chang2;"BOUND FORM

1 repay; compensate for in bǔcháng

2 fulfill in rúyuànyǐcháng";偿;
歸於;gui1yu2;"VERB

PHRASE

1 belong to; be attributed to

2 result/end in";归于;
天地;tian1di4;"NOUN

1 heaven and earth; universe

2 scope of operation 我們要開創新天地。 Wǒmen yào kāichuàng xīn tiāndì. We must expand to a new realm.

3 art. blank space at the top/bottom of a picture

4 a world of difference

5 social status/condition";;hsk7-9
召;zhao4;"VERB

1 call; convene; summon

2 solicit; recruit

<hr style='width: 30%'>

NOUN

temple; monastery (used chiefly in Inner Mongolia)";;hsk3
十惡不赦;shi2e4bu4she4;"FIXED EXPRESSION

wicked beyond redemption; heinous 不要憐憫這個十惡不赦的罪犯。 Bụ̀yào liánmǐn zhège shí'èbụ̀shè de zuìfàn. Don't have pity on this horrid criminal.";十恶不赦;
厲鬼;li4gui3;"NOUN

1 ferocious ghost

2 evil spirit

M: ge / míng / 個 / 名";厉鬼;
報應;bao4ying4;"NOUN

, rel. retribution; judgment

<hr style='width: 30%'>

VERB

recoil";报应;
養;yang3;"VERB

1 support; provide for 全家人靠他一個人養。 Quánjiā rén kào tā yị̄ ge rén yǎng. The whole family relies on him alone.

2 raise; maintain 我養了一條小狗。 Wọ̌ yǎngle yī̠ tiáo xiạ̌o gǒu. I have a little dog.

3 give birth to

4 form; cultivate

<hr style='width: 30%'>

BOUND FORM

1 rest; recuperate in yǎngbìng

2 foster; adoptive in yạ̌ngzǐ , yạ̌ngnǚ";养;hsk3
批;pi1;"VERB

1 slap (sb.'s face)

2 write comments on document

3 comment; criticize; refute

4 approve 你的申請批了嗎? Nǐ de shēnqǐng pī le ma? Has your application been approved?

<hr style='width: 30%'>

BOUND FORM

1 buy/sell in large amounts in pīfā

2 coll. cloth fibers not yet twisted in xiànpīr

<hr style='width: 30%'>

NOMINAL MEASURE WORD

batch; lot 這批貨不合格。 Zhèi pī ²huò bù hégé. This batch of commodities doesn't meet the standard.";;hsk4
瘋狗;feng1gou3;"NOUN

rabid dog

M: ²zhī / 隻";疯狗;
樣;yang4;"BOUND FORM

1 appearance; shape; form in yàngzi , yàngr

2 sample; model; pattern in ¹shìyàng

<hr style='width: 30%'>

NOMINAL MEASURE WORD

kind; type; class";样;hsk6
處;"chu3; chu4";"chu3
VERB

1 get along (with sb.) 我和同事們處得很好。 Wǒ hé tóngshìmen chǔ de hẹ̌n hǎo. I get along with my colleagues.

2 be situated in; be in a certain condition

3 manage; handle; deal with

4 punish; sentence

5 dwell; live See also ¹chù

<hr style='width: 30%'><hr style='width: 30%'>

chu4
BOUND FORM

1 place in gèchù

2 part; point in chángchu

3 department; office in jiàowùchù

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for homesteads) See also ¹chǔ";处;hsk4
咬;yao3;"VERB

1 bite; snap at

2 bark

3 incriminate sb. else (usu. falsely)

4 pronounce distinctly

5 be nitpicking (about use of words)

6 topo. corrode (metals); irritate (the skin)";;hsk5
活該;huo2gai1;"INTJ.

1 coll. serve sb. right

2 deservedly be 你活該倒霉。 Nǐ huógāi dǎoméi. You deserved the bad luck.

3 be destined to

4 ought; should";活该;hsk7-9
栽培;zai1pei2;"VERB

1 cultivate; grow

2 foster; train; educate 多謝您的栽培。 Duōxiè nín de zāipéi. Thank you for teaching me.

3 give/receive patronage";;hsk7-9
混跡;hun4ji4;"VERB

PHRASE

, wr.

1 fake/con one's way into

2 live aloof";混迹;
庸;yong1;"BOUND FORM

commonplace; mediocre in yōngsú , píngyōng";;hsk3
徒;tu2;"BOUND FORM

1 disciple; pupil; apprentice in túdi

2 follower in xìntú

3 derog. person; fellow in jiǔtú

4 (prison) sentence; imprisonment in ²túxíng

5 go on foot in túbù

6 bare; empty in ¹túshǒu , túyǒuxūmíng

<hr style='width: 30%'>

ADVERB

1 merely; only

2 in vain; to no purpose";;hsk3
罷;"ba4; pi2";"ba4
VERB

1 stop; cease 教員罷了十天教。 Jiàoyuán bàle shí tiān jiào. The teachers went on strike for ten days.

2 quit

3 dismiss

4 finish 吃罷晚飯, 學生就都回家了。 Chī bà wǎnfàn, xuésheng jiù dōu huíjiā le. The students all went home after finishing dinner.

5 refuse to attend See also ³pí

<hr style='width: 30%'><hr style='width: 30%'>

pi2
BOUND FORM

tired; weary; exhausted in ¹píláo See also ²bà";罢;
市井;shi4jing3;"PLACE WORD

, wr. marketplace; town";;hsk3
市井徒;shi4jing3tu2;"NOUN

, derog. the common herd";;hsk3
卻;que4;"ADVERB

1 but; yet

2 indeed 原來卻是他。 Yuánlái què shì tā. It's him after all.

3 now (in storytelling)
	卻說 Quèshuō Now the story goes ...

4 just
	卻夠 Què gòu just enough

<hr style='width: 30%'>

BOUND FORM

1 step back; retreat in quèbù

2 drive back; repulse in quèdí

3 reject; refuse in tuīquè

<hr style='width: 30%'>

CONJUNCTION

however; but

<hr style='width: 30%'>

SUFFIX

(indicating completion/totality)";却;hsk4
丟盡;diu1jin4;"R.VERB

lose all";丢尽;
害;hai4;"VERB

1 harm; injure; cause trouble

2 kill

3 contract an illness

<hr style='width: 30%'>

NOUN

disaster; harm; evil

<hr style='width: 30%'>

BOUND FORM

harmful in hàichu , yùhài";;hsk5
幾乎;ji1hu1;"ADVERB

almost; nearly";几乎;hsk4
滿門;man3men2;"PLACE WORD

whole family";满门;
慘死;can3si3;"VERB

die tragically";惨死;
此次;ci3ci4;"NOUN

, wr. this time";;hsk6
若;"ruo4; re3";"ruo4
CONJUNCTION

if; as if

<hr style='width: 30%'>

VERB

seem; appear to

<hr style='width: 30%'>

ADVERB

seemingly; as if

<hr style='width: 30%'>

PRONOUN

, wr. you; your See also ²rě

<hr style='width: 30%'><hr style='width: 30%'>

re3
char. in bōrě See also ¹ruò";;hsk6
依據;yi1ju4;"CONJUNCTION

according to; on the basis of; judging by 依據市場報告, 這種產品很好銷。 Yījù shìchǎng bàogào, zhèzhǒng chạ̌npǐn hẹ̌n hǎo ³xiāo. Judging by the market reports, this sort of product sells well.

<hr style='width: 30%'>

NOUN

basis; foundation";依据;hsk5
弱點;ruo4dian3;"NOUN

weak point; weakness; failing 我知道自己的弱點。 Wǒ zhīdao zìjǐ de ruòdiǎn. I know my weaknesses.";弱点;hsk7-9
擬;ni3;"VERB

1 draw up; draft

2 intend; plan

<hr style='width: 30%'>

BOUND FORM

imitate in nǐzuò

<hr style='width: 30%'>

PREFIX

quasi-";拟;hsk7-9
計劃;ji4hua4;"NOUN

 

<hr style='width: 30%'>

VERB

plan; project; program";计划;hsk3
成功;cheng2gong1;"VERB

succeed

<hr style='width: 30%'>

NOUN

success 祝你成功! Zhù nǐ chénggōng! Good luck!";;hsk3
與否;yu3fou3;"SUFFIX

whether or not (placed at end of sentence) 同意與否, 他都要去。 Tóngyì yụ̌fǒu, tā dōu yào qù. He will go, whether or not permitted.";与否;hsk7-9
還;"hai2; huan2";"hai2
ADVERB

1 still; yet

2 even/still more

3 also; too; as well; in addition; besides

4 passably; fairly

5 even

<hr style='width: 30%'>

CONSTRUCTION

zhè/nà ∼ yòng V Is it necessary to V? 那還用說。 Nà hái yòng shuō. That goes without saying. See also ¹huán

<hr style='width: 30%'><hr style='width: 30%'>

huan2
BOUND FORM

go/come back in huánxiāng

<hr style='width: 30%'>

VERB

1 give back; return; repay

2 give/do sth. in return See also ¹hái";还;hsk1
難;"nan2; nan4";"nan2
STATIC VERB

1 difficult; hard; troublesome 做人很難。 Zuòrén hěn nán. It's hard to act as a human being should.

2 disagreeable; unpleasant

<hr style='width: 30%'>

PREFIX

1 difficult
	難懂 Nándǒng hard to understand

2 disagreeable 這件衣服難看, 那件衣服好看。 Zhè jiàn yīfu nánkàn, nà jiàn yīfu hǎokàn. This clothing is ugly; that clothing is good-looking.

<hr style='width: 30%'>

VERB

make difficult/difficulties See also nàn

<hr style='width: 30%'><hr style='width: 30%'>

nan4
BOUND FORM

1 calamity; disaster; adversity in zāinàn

2 take to task; blame in zénàn See also ²nán";难;hsk1
得寸進尺;de2cun4jin4chi3;ID. insatiable;得寸进尺;
心說;xin1shuo1;"VERB

think to oneself";心说;
誰;shei2;(coll. pronunciation) See shuí;谁;hsk1
瘋子;feng1zi5;"NOUN

lunatic; madman";疯子;hsk7-9
歹;dai3;"BOUND FORM

evil; vicious; crooked in dǎitú";;hsk3
裝;zhuang1;"VERB

1 play the part/role of; act

2 dress up

3 pretend; feign 別裝好人。 Bié zhuāng hǎorén. Don't pretend to be nice.

4 install; fit; assemble 我不會裝電腦。 Wǒ bụ̀ huì zhuāng diànnǎo. I knew nothing about how to install a computer.

5 load; pack; hold 盒子裝不下了。 Hézi zhuāng bụ̀ xià le. The box is full.

<hr style='width: 30%'>

BOUND FORM

1 outfit; dress; clothing; costume in fúzhuāng

2 stage makeup/costume in xìzhuāng

3 binding (of books) in ²píngzhuāng , jīngzhuāng";装;hsk3
踩;cai3;"VERB

step on; trample";;hsk6
住;zhu4;"VERB

live; reside; stay 你住哪兒? Nǐ zhù nǎr? Where do you live?

<hr style='width: 30%'>

BOUND FORM

stop; cease in ³zhùshǒu , zhùkǒu  CMP. tightly; firmly
	抓住 zhuāzhù grasp firmly
	抓不住 zhuābuzhù unable to grasp";;hsk3
錢;qian2;"NOUN

1 copper coin

2 cash; money; fund; sum

3 Surname

<hr style='width: 30%'>

NOMINAL MEASURE WORD

five grams (1/10th of a tael)
	一錢金子 yī̠ qián jīnzi five grams of gold";钱;hsk1
敢;gan3;"AUX. dare; have courage to 上課你敢問問題嗎? Shàngkè nị̌ gǎn wèn wèntí ma? Do you dare to ask questions in class?

<hr style='width: 30%'>

VERB

have confidence to; be sure";;hsk3
踹;chuai4;"VERB

1 kick

2 tread on; trample

3 loan try";;hsk7-9
祖;zu3;"BOUND FORM

1 ancestor in zǔxiān

2 wr. progenitor in bízǔ

3 grandfather in zǔfù

<hr style='width: 30%'>

NOUN

Surname";;hsk3
膽;dan3;"NOUN

1 gallbladder

2 courage; bravery; audacity

3 internal parts";胆;hsk5
告;gao4;"BOUND FORM

1 tell; inform; explain in gàosu

2 ask for; request

3 make known; state clearly; announce

<hr style='width: 30%'>

VERB

accuse; sue 咱們去法院告他! Zánmen qù fǎyuàn gào tā! Let's sue him! See also ⁹gù";;hsk7-9
伏;fu2;"VERB

1 bend over; lie prostrate

2 subside; go down

3 hide; conceal

4 subdue; tame

5 admit (defeat/guilt)

<hr style='width: 30%'>

NOUN

1 hot summer days; dog days

2 Surname

<hr style='width: 30%'>

NOMINAL MEASURE WORD

volt";;hsk3
狀;zhuang4;"BOUND FORM

1 form; shape in ¹xíngzhuàng

2 state; condition in zhuàngkuàng

3 account; record in gòngzhuàng

4 written complaint; plaint in gàozhuàng

5 certificate in jiǎngzhuàng

6 describe; narrate in miáozhuàng

7 lg. (adverbial) modifier in zhuàngyǔ";状;
告狀;gao4zhuang4;"VERB

OBJECT CONSTRUCTION

1 (law) sue sb.

2 complain to sb.'s superior about sb. 惡人先告狀。 Èrén xiān gàozhuàng. The guilty party always complains first.";告状;hsk7-9
做主;zuo4zhu3;"VERB

OBJECT CONSTRUCTION

1 make the decision; decide 這事你能做主嗎? Zhè ²shì nǐ néng zuòzhǔ ma? Can you make the decision on this?

2 take charge of 我們家由我做主。 Wǒmen jiā yóu wǒ zuòzhǔ. I take charge of my family.

3 back up; support 你可要替我做主啊。 Nị̌ kě yào tì wǒ zuòzhǔ a. You must support me.

4 be the host";;hsk3
砰;peng1;"ONOUN

Bang!";;hsk3
砸;za2;"VERB

1 pound; ram 有人砸門。 Yǒurén zá mén. Someone is pounding on the door.

2 break; smash

3 topo. fail; bungle";;hsk7-9
稀罕;xi1han5;"STATIC VERB

rare; scarce; uncommon

<hr style='width: 30%'>

VERB

1 value as a rarity; cherish

2 care; value 我不稀罕你的錢。 Wǒ bù xīhan nǐ de qián. I don't care about your money.

<hr style='width: 30%'>

NOUN

rarity";;hsk7-9
豈有此理;qi3you3ci3li3;"INTJ. What kind of reasoning is that?; Nonsense!";岂有此理;hsk7-9
雖然;sui1ran2;"CONJUNCTION

though; although

<hr style='width: 30%'>

CONSTRUCTION

∼ A kěshi B although A (nevertheless) B";虽然;hsk3
具體;ju4ti3;"STATIC VERB

concrete; specific; particular 請具體說說事故發生的過程。 Qǐng jùtǐ shuō shuō shìgù fāshēng de guòchéng. Please give a detailed account of the accident.";具体;
黃花;huang2hua1;"NOUN

1 day lily

M: ²duǒ / 朵

2 chrysanthemum

M: ²duǒ / ¹kē / 朵 / 顆

3 coll. virgin";黄花;
閨女;gui1nü5;"NOUN

1 girl; maiden 這閨女真懂事。 Zhè guīnü zhēn dǒngshì. This girl is really sensible.

2 coll. daughter (unmarried) 你閨女多大了? Nǐ guīnü duō dà le? How old is your daughter?";闺女;hsk7-9
凌;ling2;"NOUN

1 ice

2 Surname

<hr style='width: 30%'>

BOUND FORM

1 insult; maltreat; bully in qīlíng

2 soar in língyún

3 just before in língchén

4 intrude; traverse";;hsk3
辱;ru3;"BOUND FORM

1 insult; disgrace in wụ̌rǔ

2 court. be honored in rǔlín";;hsk3
造;zao4;"VERB

1 make; build; create; establish 我們在河上造了一座橋。 Wǒmen zài ²hé shang zàole yị̄ ⁴zuò qiáo. We built a bridge over the river.

2 concoct; fabricate

3 wr. go to; arrive at

4 achieve; attain

5 coll. spend lavishly; run wild; mess things up

<hr style='width: 30%'>

NOUN

1 parties in a lawsuit

2 topo. crop

3 epoch; period";;hsk3
化;"hua4; hua1";"hua4
VERB

1 change; transform; convert

2 melt; dissolve; thaw 雪化了。 Xuě huà le. The snow has melted.

3 digest; remove

4 burn up; incinerate

5 disguise

6 rel. die; pass away

<hr style='width: 30%'>

SUFFIX

-ize

<hr style='width: 30%'>

BOUND FORM

1 culture in ¹wénhuà

2 chemistry in ¹huàxué

<hr style='width: 30%'>

CONSTRUCTION

∼ A wéi B convert/change/turn A into B

<hr style='width: 30%'><hr style='width: 30%'>

hua1
NOUN

1 flower; blossom

M: ²duǒ / 朵

2 pattern; design

3 fireworks

4 wound 他掛了花。 Tā guàle huā. He was wounded in action.

5 smallpox

6 Surname

7 courtesan; prostitute

8 essence; cream

<hr style='width: 30%'>

VERB

1 spend; expend

2 (slang) be horny; womanize

<hr style='width: 30%'>

STATIC VERB

1 flowery; florid

2 profligate

3 blurred

4 false

5 randy; lecherous";;hsk3
